0	25	25	25	25
1	25	25	25	25
3	25	25	25	25
5	25	25	25	25
7	25	25	25	25
9	25	25	25	25
11	25	17	25	21
13	24	18	15	21
15	26	0	15	9
17	26	0	15	14
19	18	5	19	10
21	24	4	24	6
23	27	11	26	11
25	27	1	33	12
27	0	15	38	24
29	0	0	49	37
30	1	9	37	42
32	0	9	38	33
34	0	1	31	37
36	4	4	35	3
38	10	8	40	6
40	6	13	36	11
42	9	15	10	13
44	14	22	12	14
46	19	27	11	15
48	20	31	13	17
50	20	33	3	21
52	21	35	0	21
54	9	38	2	0
56	9	42	3	2
58	25	37	0	23
60	39	35	0	0
61	43	27	0	0
63	45	34	1	0
65	37	36	1	0
67	23	40	0	1
69	12	46	2	2
71	18	46	0	6
73	31	47	1	10
75	36	17	0	0
77	45	21	0	3
79	49	5	2	0
81	60	1	2	2
83	64	0	0	0
85	54	0	2	0
87	41	8	4	0
89	38	11	8	0
91	27	13	10	1
92	30	17	0	2
94	34	23	4	5
96	36	26	0	8
98	30	10	1	10
100	38	14	2	13
102	42	19	2	17
104	44	22	2	1
106	44	25	2	2
108	5	25	2	3
110	11	30	2	4
112	12	35	2	4
114	16	41	2	4
116	16	44	2	4
118	19	47	2	4
120	23	48	2	4
122	23	53	2	4
123	23	54	2	5
125	23	54	2	5
