-,-
Pos X (Bus 0),Pos Z (Bus 0)
-25,-25
-23.9634,-28.4677
-8.36576,-0.00469971
-14.1745,30
-13.6253,20.3074
-21.1261,30
-,-
Pos X (Bus 1),Pos Z (Bus 1)
-25,25
12.1074,30
9.68062,-20.7948
38.6247,-40
40,-39.8287
28.9496,-34.1872
-,-
Pos X (Bus 2),Pos Z (Bus 2)
30,25
40,24.8236
40,25.5448
40,24.6681
40,24.7499
40,25.5488
-,-
Pos X (Bus 3),Pos Z (Bus 3)
30,-25
40,-34.491
40,-19.953
40,-25.2695
40,-28.0367
40,-20.0514
-,-
Time,Score 0,Score 1,Score 2,Score 3
0,25,25,25,25
2,25,25,25,25
4,25,25,25,25
6,25,25,25,25
8,25,25,25,25
10,25,25,25,25
-,-
Time,Stage 0,Stage 1,Stage 2,Stage 3
0,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
2,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
4,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
6,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
8,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
10,2,-1.07374e+08,-1.07374e+08,-1.07374e+08
-,-
Time, Free Passengers
0,0
2,0
4,0
6,0
8,0
10,0
