0	25	25	25	25
1	25	25	0	0
3	25	25	0	0
5	25	25	0	0
7	25	25	0	0
9	25	25	0	0
11	29	0	0	0
13	31	0	0	0
15	33	0	0	0
17	36	0	0	0
19	43	0	0	0
21	44	0	0	0
23	49	0	0	0
25	49	0	0	0
27	50	0	0	0
29	43	0	0	0
30	0	0	0	0
32	4	1	0	0
34	13	1	0	0
36	18	1	0	0
38	23	1	0	0
40	29	1	0	0
42	31	1	0	0
44	34	1	0	0
46	36	1	0	0
48	39	1	0	0
50	40	1	0	0
52	43	1	0	0
54	44	1	0	0
56	45	1	0	0
58	46	1	0	0
60	48	1	0	0
61	48	1	0	0
63	49	1	0	0
65	39	1	0	0
67	16	1	0	0
69	17	1	0	0
71	21	3	0	0
73	26	4	0	0
75	28	4	0	0
77	30	4	0	0
79	34	4	0	0
81	36	4	0	0
83	37	4	0	0
85	38	4	0	0
87	39	4	0	0
89	43	0	0	0
91	45	0	0	0
92	46	0	0	0
94	47	0	0	0
96	48	0	0	0
98	50	0	0	0
100	50	0	0	0
102	50	0	0	0
104	50	0	0	0
106	50	0	0	0
108	25	0	0	0
110	30	0	0	0
112	33	0	0	0
114	36	0	0	0
116	37	0	0	0
118	40	0	0	0
120	41	0	0	0
122	43	1	0	0
